Gebietsschlüssel;Gebietsbezeichnung;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §19;Wähler;Wähler mit Wahlschein;Wahlbeteiligung;Berechnungsmethode Wahlbeteiligung;ungültige Erststimmen;gültige Erststimmen;ungültige Erststimmen in %;gültige Erstsstimmen in %;SPD Erststimmen;CDU Erststimmen;GRÜNE Erststimmen;FDP Erststimmen;Linke Erststimmen;FREIE WÄHLER Erststimmen;PIRATEN Erststimmen;NPD Erststimmen;REP Erststimmen;ödp Erststimmen;ALFA Erststimmen;AfD Erststimmen;III. Weg Erststimmen;DIE EINHEIT Erststimmen;FRIEDENSKÄMPFER Erststimmen;Pestemer Erststimmen;Sonstige Erststimmen;;;;;;;;;SPD Erststimmen in %;CDU Erststimmen in %;GRÜNE Erststimmen in %;FDP Erststimmen in %;Linke Erststimmen in %;FREIE WÄHLER Erststimmen in %;PIRATEN Erststimmen in %;NPD Erststimmen in %;REP Erststimmen in %;ödp Erststimmen in %;ALFA Erststimmen in %;AfD Erststimmen in %;III. Weg Erststimmen in %;DIE EINHEIT Erststimmen in %;FRIEDENSKÄMPFER Erststimmen in %;Pestemer Erststimmen in %;Sonstige Erststimmen in %;;;;;;;;;ungültige Zweitstimmen;gültige Zweitstimmen;ungültige Zweitstimmen in %;gültige Zweitstimmen in %;SPD Zweitstimmen;CDU Zweitstimmen;GRÜNE Zweitstimmen;FDP Zweitstimmen;Linke Zweitstimmen;FREIE WÄHLER Zweitstimmen;PIRATEN Zweitstimmen;NPD Zweitstimmen;REP Zweitstimmen;ödp Zweitstimmen;ALFA Zweitstimmen;AfD Zweitstimmen;III. Weg Zweitstimmen;DIE EINHEIT Zweitstimmen;FRIEDENSKÄMPFER Zweitstimmen;Pestemer Zweitstimmen;Sonstige Zweitstimmen;;;;;;;;;SPD Zweitstimmen in %;CDU Zweitstimmen in %;GRÜNE Zweitstimmen in %;FDP Zweitstimmen in %;Linke Zweitstimmen in %;FREIE WÄHLER Zweitstimmen in %;PIRATEN Zweitstimmen in %;NPD Zweitstimmen in %;REP Zweitstimmen in %;ödp Zweitstimmen in %;ALFA Zweitstimmen in %;AfD Zweitstimmen in %;III. Weg Zweitstimmen in %;DIE EINHEIT Zweitstimmen in %;FRIEDENSKÄMPFER Zweitstimmen in %;Pestemer Zweitstimmen in %;Sonstige Zweitstimmen in %;;;;;;;;;Gewählter Direktkandidat;Partei des Direktkandidaten;Anzahl Stimmbezirke;Anzahl ausgezählter Stimmbezirke;Zeitpunkt der letzten Änderung
0001340200000;Birkenfeld, VG;15123;12256;2867;0;10232;2708;67,7;2;323;9909;3,2;96,8;4292;2599;539;577;356;378;;;;;;977;;;191;;;;;;;;;;;43,3;26,2;5,4;5,8;3,6;3,8;;;;;;9,9;;;1,9;;;;;;;;;;;213;10019;2,1;97,9;4033;2939;384;556;338;249;79;63;22;25;41;1265;12;13;;;;;;;;;;;;40,3;29,3;3,8;5,5;3,4;2,5;0,8;0,6;0,2;0,2;0,4;12,6;0,1;0,1;;;;;;;;;;;;;;41;41;16.03.2016 09:37:26
0001340300000;Herrstein, VG;13132;10965;2166;1;9474;2109;72,1;2;186;9288;2;98;3414;2870;647;841;239;204;;;;;;955;;;118;;;;;;;;;;;36,8;30,9;7;9,1;2,6;2,2;;;;;;10,3;;;1,3;;;;;;;;;;;104;9370;1,1;98,9;3636;3111;333;643;237;125;52;63;12;16;28;1102;2;10;;;;;;;;;;;;38,8;33,2;3,6;6,9;2,5;1,3;0,6;0,7;0,1;0,2;0,3;11,8;0;0,1;;;;;;;;;;;;;;34;34;14.03.2016 10:02:13
0001340400000;Rhaunen, VG;5851;4899;952;0;3974;862;67,9;2;94;3880;2,4;97,6;1544;1223;174;283;110;93;;;;;;424;;;29;;;;;;;;;;;39,8;31,5;4,5;7,3;2,8;2,4;;;;;;10,9;;;0,7;;;;;;;;;;;59;3915;1,5;98,5;1565;1282;116;262;89;64;17;12;13;10;17;455;3;10;;;;;;;;;;;;40;32,7;3;6,7;2,3;1,6;0,4;0,3;0,3;0,3;0,4;11,6;0,1;0,3;;;;;;;;;;;;;;17;17;13.03.2016 20:06:36
0001350000000;Cochem-Zell, Landkreis;49138;40147;8989;2;34955;6630;71,1;2;850;34105;2,4;97,6;10350;16676;1693;2401;;;;;;;;2985;;;;;;;;;;;;;;30,3;48,9;5;7;;;;;;;;8,8;;;;;;;;;;;;;;515;34440;1,5;98,5;10806;14996;1208;2429;735;416;184;141;46;78;112;3255;7;27;;;;;;;;;;;;31,4;43,5;3,5;7,1;2,1;1,2;0,5;0,4;0,1;0,2;0,3;9,5;0;0,1;;;;;;;;;;;;;;108;108;16.03.2016 15:39:45
0001350100000;Cochem, VG;15633;12472;3161;0;11522;3005;73,7;2;270;11252;2,3;97,7;3277;5855;547;748;;;;;;;;825;;;;;;;;;;;;;;29,1;52;4,9;6,6;;;;;;;;7,3;;;;;;;;;;;;;;153;11369;1,3;98,7;3555;5099;406;867;201;147;50;34;19;30;44;910;3;4;;;;;;;;;;;;31,3;44,9;3,6;7,6;1,8;1,3;0,4;0,3;0,2;0,3;0,4;8;0;0;;;;;;;;;;;;;;30;30;14.03.2016 15:20:55
0001350200000;Kaisersesch, VG;12407;10034;2373;0;8836;2283;71,2;2;186;8650;2,1;97,9;2978;3905;485;485;;;;;;;;797;;;;;;;;;;;;;;34,4;45,1;5,6;5,6;;;;;;;;9,2;;;;;;;;;;;;;;106;8730;1,2;98,8;2968;3604;344;480;242;100;59;42;11;21;25;827;2;5;;;;;;;;;;;;34;41,3;3,9;5,5;2,8;1,1;0,7;0,5;0,1;0,2;0,3;9,5;0;0,1;;;;;;;;;;;;;;27;27;15.03.2016 08:48:08
0001350300000;Ulmen, VG;8682;7298;1384;0;6036;1342;69,5;2;144;5892;2,4;97,6;1485;3236;224;386;;;;;;;;561;;;;;;;;;;;;;;25,2;54,9;3,8;6,6;;;;;;;;9,5;;;;;;;;;;;;;;86;5950;1,4;98,6;1577;2867;179;429;116;61;40;29;7;11;17;611;0;6;;;;;;;;;;;;26,5;48,2;3;7,2;1,9;1;0,7;0,5;0,1;0,2;0,3;10,3;0;0,1;;;;;;;;;;;;;;22;22;13.03.2016 19:26:01
0001350500000;Zell (Mosel), VG;12416;10343;2071;2;8561;0;69;2;250;8311;2,9;97,1;2610;3680;437;782;;;;;;;;802;;;;;;;;;;;;;;31,4;44,3;5,3;9,4;;;;;;;;9,6;;;;;;;;;;;;;;170;8391;2;98;2706;3426;279;653;176;108;35;36;9;16;26;907;2;12;;;;;;;;;;;;32,2;40,8;3,3;7,8;2,1;1,3;0,4;0,4;0,1;0,2;0,3;10,8;0;0,1;;;;;;;;;;;;;;29;29;16.03.2016 15:39:45
0001370000000;Mayen-Koblenz, Landkreis;166249;129191;37055;3;114326;35552;68,8;2;2695;111631;2,4;97,6;37974;45692;6862;6742;;7130;;;;;;7231;;;;;;;;;;;;;;34;40,9;6,1;6;;6,4;;;;;;6,5;;;;;;;;;;;;;;1381;112945;1,2;98,8;39574;41843;5088;6839;2808;2431;766;428;156;340;401;12046;47;178;;;;;;;;;;;;35;37;4,5;6,1;2,5;2,2;0,7;0,4;0,1;0,3;0,4;10,7;0;0,2;;;;;;;;;;;;;;228;228;16.03.2016 13:53:43
0001370100000;Pellenz, VG;12867;9989;2878;0;8791;2757;68,3;2;162;8629;1,8;98,2;3245;3302;453;366;;293;;;;;;970;;;;;;;;;;;;;;37,6;38,3;5,2;4,2;;3,4;;;;;;11,2;;;;;;;;;;;;;;112;8679;1,3;98,7;3349;2971;380;431;208;166;44;46;14;17;37;1001;5;10;;;;;;;;;;;;38,6;34,2;4,4;5;2,4;1,9;0,5;0,5;0,2;0,2;0,4;11,5;0,1;0,1;;;;;;;;;;;;;;18;18;13.03.2016 20:49:19
0001370200000;Maifeld, VG;19361;15168;4190;3;13437;4001;69,4;2;462;12975;3,4;96,6;4633;5389;832;884;;1237;;;;;;;;;;;;;;;;;;;;35,7;41,5;6,4;6,8;;9,5;;;;;;;;;;;;;;;;;;;;181;13256;1,3;98,7;4614;4965;596;743;338;254;100;50;16;110;62;1380;7;21;;;;;;;;;;;;34,8;37,5;4,5;5,6;2,5;1,9;0,8;0,4;0,1;0,8;0,5;10,4;0,1;0,2;;;;;;;;;;;;;;38;38;16.03.2016 07:29:15
0001370300000;Vordereifel, VG;13374;11083;2291;0;9878;2180;73,9;2;300;9578;3;97;3103;4553;586;691;;645;;;;;;;;;;;;;;;;;;;;32,4;47,5;6,1;7,2;;6,7;;;;;;;;;;;;;;;;;;;;114;9764;1,2;98,8;3200;4234;397;546;195;136;81;34;12;30;34;856;3;6;;;;;;;;;;;;32,8;43,4;4,1;5,6;2;1,4;0,8;0,3;0,1;0,3;0,3;8,8;0;0,1;;;;;;;;;;;;;;31;31;15.03.2016 08:23:15
0001370400000;Mendig, VG;10781;8417;2364;0;7522;2277;69,8;2;103;7419;1,4;98,6;2472;2943;527;503;;220;;;;;;754;;;;;;;;;;;;;;33,3;39,7;7,1;6,8;;3;;;;;;10,2;;;;;;;;;;;;;;72;7450;1;99;2624;2838;365;417;165;110;54;21;10;17;17;791;3;18;;;;;;;;;;;;35,2;38,1;4,9;5,6;2,2;1,5;0,7;0,3;0,1;0,2;0,2;10,6;0;0,2;;;;;;;;;;;;;;10;10;15.03.2016 13:47:12
0001370700000;Vallendar, VG;11965;8627;3338;0;8965;3199;74,9;2;110;8855;1,2;98,8;2960;3552;471;548;;677;;;;;;647;;;;;;;;;;;;;;33,4;40,1;5,3;6,2;;7,6;;;;;;7,3;;;;;;;;;;;;;;86;8879;1;99;3030;3515;426;646;147;273;53;20;7;19;20;718;2;3;;;;;;;;;;;;34,1;39,6;4,8;7,3;1,7;3,1;0,6;0,2;0,1;0,2;0,2;8,1;0;0;;;;;;;;;;;;;;13;13;15.03.2016 08:12:27
0001370800000;Weißenthurm, VG;26013;20281;5732;0;17198;5527;66,1;2;348;16850;2;98;5051;7374;839;819;;760;;;;;;2007;;;;;;;;;;;;;;30;43,8;5;4,9;;4,5;;;;;;11,9;;;;;;;;;;;;;;245;16953;1,4;98,6;5756;6367;620;932;423;425;124;69;23;34;48;2080;11;41;;;;;;;;;;;;34;37,6;3,7;5,5;2,5;2,5;0,7;0,4;0,1;0,2;0,3;12,3;0,1;0,2;;;;;;;;;;;;;;21;21;15.03.2016 16:34:07
